pass,bench,tier,run,cpu,pmu,omp_num_threads,wall_seconds,rapl_pkg_joules,rapl_core_joules,instructions,cycles,cache-references,cache-misses,stream_copy_mbps,stream_scale_mbps,stream_add_mbps,stream_triad_mbps,npb_class,npb_time_s,mops_s,ipc,miss_rate,pkg_watts,core_watts,is_warmup
stream_1t,stream,P,1,0,cpu_core,1,153.177,968.548,194.644,3036981547,2435833116,276654452,186911642,37158.8,22217.2,24851.0,24550.0,,,,1.2467937672130738,0.6756140761472366,6.323064167596963,1.2707129660458163,True
stream_1t,stream,E,1,6,cpu_atom,1,0.981,9.873,2.895,3036968419,2311850725,537023212,337447884,27948.4,21187.3,24254.8,24226.1,,,,1.3136524716577451,0.6283674084463969,10.064220183486238,2.9510703363914375,False
stream_1t,stream,LPE,1,14,cpu_lowpower,1,2.379,18.689,3.493,2991335532,2249246321,552703120,357621886,10888.0,9526.2,11179.7,11184.1,,,,1.3299279425608095,0.6470415546053006,7.855821773854561,1.4682639764606977,False
stream_1t,stream,P,10,0,cpu_core,1,0.966,10.221,3.709,3036980576,2431656928,276656571,186057980,37353.6,22232.5,24885.3,24554.5,,,,1.248934642477658,0.6725232635085324,10.580745341614907,3.839544513457557,False
stream_1t,stream,E,10,6,cpu_atom,1,0.973,9.993,2.867,3036964242,2316710060,536889499,337905645,27923.2,21215.2,24203.7,24203.7,,,,1.3108952623963657,0.629376520921673,10.270298047276466,2.94655704008222,False
stream_1t,stream,LPE,10,14,cpu_lowpower,1,2.373,17.475,3.143,2991335906,2222567094,553795899,356412713,11033.7,9973.9,11592.4,11671.7,,,,1.3458922855806486,0.6435813512587966,7.36409608091024,1.3244837758112091,False
stream_1t,stream,P,11,0,cpu_core,1,0.961,10.182,3.663,3036982653,2433614137,276652426,186014443,37217.2,22245.4,24883.3,24582.0,,,,1.2479310531717214,0.6723759689712607,10.595213319458898,3.8116545265348596,False
stream_1t,stream,E,11,6,cpu_atom,1,0.974,10.016,2.888,3036966558,2316772277,536838359,337510948,28041.9,21203.4,24222.2,24189.2,,,,1.3108610579252025,0.6287012512084666,10.283367556468173,2.9650924024640655,False
stream_1t,stream,LPE,11,14,cpu_lowpower,1,2.44,18.028,3.225,2991336243,2282683345,554191825,358852538,10867.7,9961.6,11735.1,11780.1,,,,1.3104473073552827,0.6475240554116799,7.388524590163934,1.3217213114754098,False
stream_1t,stream,P,12,0,cpu_core,1,0.963,9.926,3.496,3036978377,2432440490,276652540,186016123,37274.1,22247.9,24876.6,24571.5,,,,1.2485314191592,0.6723817645050358,10.307372793354102,3.6303219106957427,False
