CPU CORE SOCKET NODE    MAXMHZ   MINMHZ
  0    0      0    0 2900.0000 400.0000
  1    1      0    0 2900.0000 400.0000
  2    2      0    0 2900.0000 400.0000
  3    3      0    0 2900.0000 400.0000
  4    4      0    0 2900.0000 400.0000
  5    5      0    0 2900.0000 400.0000
  6    6      0    0 2700.0000 400.0000
  7    7      0    0 2700.0000 400.0000
  8    8      0    0 2700.0000 400.0000
  9    9      0    0 2700.0000 400.0000
 10   10      0    0 2700.0000 400.0000
 11   11      0    0 2700.0000 400.0000
 12   12      0    0 2700.0000 400.0000
 13   13      0    0 2700.0000 400.0000
 14   14      0    0 1000.0000 400.0000
 15   15      0    0 1000.0000 400.0000
